header1,header2,item,
Umwelt,Plastik,"Einen Markt gestalten, der Abgaben zum dualen System, Plastiksteuer auf der Negativseite und die Recyclatnutzung auf der Positivseite integriert, ähnlich CO2-Zertifikaten = Plastikzertifikate, um CO2 einzusparen und Meere wie Umwelt vor (Mikro)plastik zu schützen.",
Umwelt,Plastik,"Mikroplastik bei der Wasseraufbereitung in Deutschland, in Kläranlagen gezielt herausfiltern und als Recyclat nutzbar machen, um CO2 einzusparen und Meere wie Umwelt vor Mikroplastik zu schützen.",
Umwelt,Plastik,Projekte zur Befreiung des Ozeans von Plastik skalierbar machen (bspw. Ocean CleanUp Project) ,
Umwelt,Mobilität/Infrastruktur,"Nachhaltiger Städtebau. Berücksichtigung folgender Aspekte: Verkehrswende, bessere Infrastruktur für Fahrradfahrer, mehr sharing Verkehrsmöglichkeiten (einsatz von digitalisierung), Autofahren unattraktiver machen; Soziale Durchmischung; Klimafolgenanpassung (Hitzereduktion z.B. durch Naturflure zur Kühle, Wasserabfluss); Städte hitze- und regenresistent umbauen: v.a. durch aufbrechen von Versiegelungsflächen und Begrünung (Wasserläufe mitbedenken! Kühlbassins & Kühlkorridore in Städte integrieren, https://www.weforum.org/agenda/2021/09/12-steps-to-decarbonise-your-city-cities-urban-infrastructure-decarbonisation-net-zero/ )",
Umwelt,Mobilität/Infrastruktur,Flexibleres Arbeiten - Minimum von Präsenz am Arbeitsplatz (gesetzlich abgesichert)/4 Tage Woche gesetzlich,
Umwelt,Mobilität/Infrastruktur,Lobbyknäuel gründen um die Leute auf dem Land zu halten,
Umwelt,Mobilität/Infrastruktur,"Moderne Arbeitskonzepte erarbeiten (Digitalisierung, Asynchronität, Bezahlungssysteme) um flexibles Arbeiten zu ermöglichen und Landflucht abzubauen",
Umwelt,Mobilität/Infrastruktur,"Das gute ins Töpfchen, das Schlechte ins Kröpfchen: Abwassertrennung in deutschen Städten ((Grau- von Fäkalabwasser) für höherwertige Nutzbarkeit und Treffnung von Mikroplastik.) ",
Umwelt,Mobilität/Infrastruktur,"Nah- und Fernverkehrdiscounts, mit mehr Förderung je umweltfreundlicher, nach sozialen Aspekten",
Umwelt,Mobilität/Infrastruktur,Mobilitätswende auf dem Land:  Ausbau des öffentlichen Nahverkehrs,
Umwelt,Mobilität/Infrastruktur,"Zugnetzausbau, Zugfahren attraktiver machen im vgl. zu Auto/Flug (Regulierungen abbauen, Gleisnetzinvestitionen, Grenzüberschreitende Zusammenarbeit v.a. in Bezug auf Regulierung)",
Umwelt,Mobilität/Infrastruktur,Austernzucht an der Nordseeküste zur Flutbekämpfung https://www.youtube.com/watch?v=UcN6RXT7qpw ,
Umwelt,Landwirtschaft,"Jobs rotieren und lokale landwirtschaft stärken, regionale nahrungsmittel promoten",
Umwelt,Landwirtschaft,"Auch unästhetische Lebensmittel in den Verkauf und Verzehr bringen, bspw. durch Abkehr von der Gurkenbiegungsnorm, oder in dem Verkaufs-/Verarbeitungswege für ebendiese Lebensmittel geschaffen werden, in Deutschland/EU, um Ressourcen zu schonen.",
Umwelt,Landwirtschaft,"The smaller the richer: Landwirtschaftliche Betriebe durch Anreize verkleinern, um Basis für flexible und innovative Entwicklung zu schaffen. Vielfalt belebt. Konkurrenz belebt.",
Umwelt,Landwirtschaft,"Waldflächen auf small-scale owners verteilen, um langfristigen Erhalt und extensive Nutzung von Wald zu gewährleisten: [Small-scale private forests can harbour important conservation values (Mölder et al. 2021). For example, small private forests in southwest Germany had more pronounced structural diversity, higher amounts of deadwood, as well as a larger capacity to store carbon than state- and municipality-owned forests (Schaich and Plieninger 2013).]",
Umwelt,Landwirtschaft,Landwirtschaft resistenter für Extremwetterereignisse machen & zur berücksichtigung von biodiversitätsaspekten anreizen (-> Permakulturprinzipien als ansatz); kann auch Hunger adressieren ,
Umwelt,Landwirtschaft,Landwirte überzeugen einen No-tilling (kein Umpflügen) approach zu übernehmen (https://www.weforum.org/agenda/2021/04/farming-soil-change-agriculture-climate-impact-research-environment/?emailType=Newsletter),
Politische Partizipation, ,"Teilhabe von unterrepräsentierten Gruppen an demokratischen/politischen Prozessen verbessern (liquid democracy: https://liqd.net/en/, Bürgerräte, https://rethinkpriorities.org/publications/towards-a-longtermist-framework-for-evaluating-democracy-related-intervention)",
Politische Partizipation, ,"Informationszugang zu Gemeinderats-Entscheidungen bspw. Instagram/Facebook um Kontrollausübung verbessern: Themenselektion ermöglichen, und dann per Algorithmus zufällige Informationen/Artikel zu anderen Themenentscheidungen einspielen; auf gemeindeübergreifende Plattformstrukturen setzen",
Politische Partizipation, ,"Politiktinder/menschnezusammenbringende Festivals - Politik nahbarer machen: Als Meinungsabfrage tool ohne zuviel Sideinfos; Gremienarbeit erleichtern - weniger Zeitaufwand; um Barrieren zu reduzieren - online nutzbar, klareres Layout/interaktiv etc.; Prioritäten durch swipen setzen und dadurch dann weniger Infoflut; Als Diskussionsangebot (Diskussionsrunde zusammen swipen)",
Bildung, ,privaten Nachhilfeunterricht für  Kinder mit Lernproblemen in den ersten Schuljahren verfügbar machen,
Bildung, ,"Mentorship-Programme für Schüler:innen (Student:innen) in Deutschland aus bildungsfernem (nicht-akademischen) Elternhaus, um soziale Mobilität zu fördern. (bspw.",
Bildung, ,"Praktische Bildung in Finanzangelegenheiten (erst Umgang mit Geld, später auch in Richtung Finanzinstrumente) für Kinder (12-18 Jahre), in Deutschland, vielleicht aus armutsnahem Hintergrund, anbieten und ausweiten, um Armut zu bekämpfen.",
Bildung, ,Frauke for academia...for ever ever?: Frauke in academia halten für gender balance → Tino Chrupalla würde sagen “Der Stachel im Fleisch des Establishments”,
Qualität von Entscheidungen, ,"Kommunikation zwischen verschiedenen Fachleuten/Institutionen vereinfachen bspw zwischen Ministerien, Hilfsorganisationen, Wissenschaft",
Qualität von Entscheidungen, ,"Datenverfügbarkeit verbessern (e.g. our world in data, https://fusionbase.com)",
Qualität von Entscheidungen, ,"Trade-Off zwischen schneller/effizienter Umsetzung und Teilhabe im demokratischen Prozess reduzieren (von Paris lernen? https://slate.com/business/2021/09/paris-cars-bicycles-walking-david-belliard-anne-hidalgo.html, von Kopenhagen lernen? https://www.bbc.com/news/world-europe-57348415  )",
Qualität von Entscheidungen, ,Korruption in Industrieländern abbauen:  welche institutionellen Änderungen wären nötig?,
Qualität von Entscheidungen, ,"Digitalisierung verbessern, Datenverfügbarkeit durch staatliche Institutionen erhöhen (Datensicherheit berücksichtigen)",
Qualität von Entscheidungen, ,Aufbau von Risikomanagement & Resilienzkapazitäten für extrem low prob. events (bspw. Pandemie) (https://www.cser.ac.uk/research/science-global-risk/ ),
Qualität von Entscheidungen, ,Forecastingmethoden verbessern (https://rethinkpriorities.org/publications/types-of-specification-problems-in-forecasting),
Qualität von Entscheidungen, ,Forschung zur effizienten Messbarkeit von Impact (short term vs long term; klare Definition von Benefits und Kosten),
Qualität von Entscheidungen, ,"Incentives für Funding-Entscheidungen (Unis/Organisationen/Firmen) effektiver setzen: Andere Anreize als nur refunded werden für hohe Effektivität damit auch “Unicorns” ausprobiert werden; Ohne perverse Incentives, wie bei zu eng gesetzten KPIs; Venture-Capital mindset bei Fundern etablieren: Normalisierung der Idee, dass die Mehrheit der Projekte scheitern wird → um Projekte mit wirklichem Impact zu finden, muss man viele ausprobieren/in viele investieren)",
Gesellschaftlicher Zusammenhalt, ,Schönheits-OPs für alle/Gesundheitsgutscheine,
Gesellschaftlicher Zusammenhalt, ,Verpflichtendes Austauschjahr in einer anderen Familie für Kinder unter 18 Jahren,
Gesellschaftlicher Zusammenhalt, ,"Zivildienst/Wehrdienst+ (“Systemrelevantes Jahr”): Rotation durch möglichst viele unterschiedliche Jobs, die einen Dienst an der Gesellschaft leisten (bspw. systemrelevante Berufe:  Pflege,  Kinderbetreuung, Kunst / Kultur, Wehrdienst, Katastrophenschutz, Feuerwehr, ...) verpflichtend einführen, um jungen Menschen eine Vielzahl an Perspektiven auf Gesellschaft aufzuzeigen und Empathie zu stärken.",
Global Health,,Impfungen im globalen Süden verfügbar & bezahlbar machen,
Global Health,,"Verhütungsmittel & Menstruationsprodukte für Frauen (im globalen Süden) verfügbar machen (Normen, & finanzielle Verfügbarkeit)",
